game_id,team,passer_id,dropbacks,qb_epa
2019_12_CAR_NO,CAR,00-0034577,42,13.140656901015472
2019_12_CAR_NO,NO,00-0020531,40,8.779703674194804
2019_12_DAL_NE,DAL,00-0033077,34,-7.306551352426808
2019_12_DAL_NE,NE,00-0019596,39,-6.427478578120861
2019_12_DEN_BUF,BUF,00-0034857,28,8.080828045327115
2019_12_DEN_BUF,DEN,00-0032434,31,-16.271423527825686
2019_12_DET_WAS,DET,00-0032436,43,-0.8231518587764239
2019_12_DET_WAS,WAS,00-0034928,1,-0.3598180672270246
2019_12_DET_WAS,WAS,00-0035232,34,-9.821152593715748
2019_12_GB_SF,GB,00-0023459,42,-15.768289589628576
2019_12_GB_SF,GB,00-0034177,4,-0.45442071673460305
2019_12_GB_SF,SF,00-0031345,23,7.642351797432224
2019_12_IND_HOU,HOU,00-0033537,31,7.496709455318575
2019_12_IND_HOU,IND,00-0033119,28,-3.0312150643890226
2019_12_JAX_TEN,JAX,00-0029567,55,-0.40511271625712575
2019_12_JAX_TEN,TEN,00-0029701,20,14.687930337182479
2019_12_MIA_CLE,CLE,00-0034855,35,13.642490753519667
2019_12_MIA_CLE,MIA,00-0023682,47,1.056836319330614
2019_12_NYG_CHI,CHI,00-0033869,46,-3.5488764326457125
2019_12_NYG_CHI,NYG,00-0035710,39,-13.113507158804298
2019_12_OAK_NYJ,LV,00-0030520,7,-3.6604125986341387
2019_12_OAK_NYJ,LV,00-0031280,28,-5.091131057338049
2019_12_OAK_NYJ,NYJ,00-0034869,32,15.687411917135247
2019_12_PIT_CIN,CIN,00-0035652,31,-8.04860042292107
2019_12_PIT_CIN,PIT,00-0034771,19,-7.54661997261799
2019_12_PIT_CIN,PIT,00-0035577,14,-0.24363488542610612
2019_12_SEA_PHI,PHI,00-0032950,51,-8.292634169004241
2019_12_SEA_PHI,SEA,00-0029263,32,-2.387491198166284
2019_12_TB_ATL,ATL,00-0022787,10,3.4859237429774366
2019_12_TB_ATL,ATL,00-0026143,53,-12.988440954600174
2019_12_TB_ATL,TB,00-0031503,32,15.329701972980383
2019_13_BUF_DAL,BUF,00-0031051,1,3.1874308812548406
2019_13_BUF_DAL,BUF,00-0034857,31,13.095762585256582
2019_13_BUF_DAL,DAL,00-0033077,57,-3.4880537868665833
2019_13_CHI_DET,CHI,00-0033869,42,8.82501432634021
2019_13_CHI_DET,DET,00-0035040,41,3.804561364169546
2019_13_CLE_PIT,CLE,00-0031395,2,-0.05568085648701526
2019_13_CLE_PIT,CLE,00-0034855,37,-4.571336100043382
2019_13_CLE_PIT,PIT,00-0035577,23,6.133390621196368
2019_13_GB_NYG,GB,00-0023459,36,20.45913366086843
2019_13_GB_NYG,NYG,00-0035710,38,-2.4830566223907358
2019_13_LAC_DEN,DEN,00-0035704,31,-3.2328642512239174
2019_13_LAC_DEN,LAC,00-0022942,32,3.9527934972364878
2019_13_LA_ARI,ARI,00-0035228,42,-25.638892324466724
2019_13_LA_ARI,LA,00-0031407,2,-1.4286358838435262
2019_13_LA_ARI,LA,00-0033106,43,23.650386435538607
2019_13_MIN_SEA,MIN,00-0029604,38,1.1532936525716688
2019_13_MIN_SEA,SEA,00-0029263,36,3.067199689478601
2019_13_NE_HOU,HOU,00-0030564,1,1.30336453410564
2019_13_NE_HOU,HOU,00-0033537,29,11.070465849305037
2019_13_NE_HOU,NE,00-0019596,52,4.4540854148178886
2019_13_NO_ATL,ATL,00-0026143,62,-17.63675411308651
2019_13_NO_ATL,NO,00-0020531,30,-0.6099195163120907
2019_13_NO_ATL,NO,00-0033357,1,-0.6327455985592678
2019_13_NYJ_CIN,CIN,00-0027973,39,2.449017981514582
2019_13_NYJ_CIN,NYJ,00-0034869,54,-10.311491056137369
2019_13_OAK_KC,KC,00-0033873,32,7.379382222644298
2019_13_OAK_KC,LV,00-0031280,34,-4.79249613483625
2019_13_PHI_MIA,MIA,00-0023682,45,13.932543951465282
2019_13_PHI_MIA,MIA,00-0033400,1,2.270358375797514
2019_13_PHI_MIA,PHI,00-0032950,48,9.645712658844774
2019_13_SF_BAL,BAL,00-0034796,24,-1.7514426118803197
2019_13_SF_BAL,SF,00-0031345,25,1.3920907186846918
2019_13_TB_JAX,JAX,00-0029567,17,-16.524362469441257
2019_13_TB_JAX,JAX,00-0035289,32,-11.01693398623308
2019_13_TB_JAX,TB,00-0031503,39,0.11553632251134793
2019_13_TEN_IND,IND,00-0033119,43,2.0311345767800493
2019_13_TEN_IND,TEN,00-0029701,29,-4.183552642308268
2019_13_WAS_CAR,CAR,00-0034577,56,-1.1830050880089402
2019_13_WAS_CAR,WAS,00-0035232,33,-7.327673695450003
2019_14_BAL_BUF,BAL,00-0034796,26,0.8848434259480875
2019_14_BAL_BUF,BUF,00-0034857,47,-20.743674199299438
2019_14_CAR_ATL,ATL,00-0026143,36,7.599886133126037
2019_14_CAR_ATL,CAR,00-0034577,50,-6.404619383763459
2019_14_CIN_CLE,CIN,00-0027973,39,-5.707705532419594
2019_14_CIN_CLE,CIN,00-0032543,1,1.738960771006532
2019_14_CIN_CLE,CLE,00-0034855,27,1.9367727940547264
2019_14_DAL_CHI,CHI,00-0033869,37,9.977317818474729
2019_14_DAL_CHI,DAL,00-0033077,51,3.320981071596726
2019_14_DEN_HOU,DEN,00-0035704,30,20.55135830310795
2019_14_DEN_HOU,HOU,00-0033537,58,3.4637244279078505
2019_14_DET_MIN,DET,00-0035040,45,-9.511849442909838
2019_14_DET_MIN,MIN,00-0029604,31,5.661337909140102
2019_14_IND_TB,IND,00-0033119,41,4.531578218491518
2019_14_IND_TB,TB,00-0029857,4,-0.6239215268287808
2019_14_IND_TB,TB,00-0031503,48,10.955876037911391
2019_14_KC_NE,KC,00-0033873,44,3.259982698864871
2019_14_KC_NE,NE,00-0019596,40,-16.58019937006264
2019_14_KC_NE,NE,00-0031062,1,2.000194003863726
2019_14_LAC_JAX,JAX,00-0034437,1,3.129167773993686
2019_14_LAC_JAX,JAX,00-0035289,45,-13.15614876196935
2019_14_LAC_JAX,LAC,00-0022942,23,25.134482017184357
2019_14_LAC_JAX,LAC,00-0028118,5,2.537555277114734
2019_14_MIA_NYJ,MIA,00-0023682,45,2.3062230596980093
2019_14_MIA_NYJ,NYJ,00-0034869,36,7.150493877548684
2019_14_NYG_PHI,NYG,00-0022803,32,-1.8309809216416104
2019_14_NYG_PHI,PHI,00-0032950,54,3.976361995223231
2019_14_PIT_ARI,ARI,00-0035228,38,-6.73867794837547
2019_14_PIT_ARI,PIT,00-0035577,26,6.823692826017308
2019_14_SEA_LA,LA,00-0033106,32,7.7367471728648525
2019_14_SEA_LA,LA,00-0033908,1,-1.315011633846808
2019_14_SEA_LA,SEA,00-0029263,45,-6.601236554812016
2019_14_SF_NO,NO,00-0020531,41,17.10962359574371
2019_14_SF_NO,NO,00-0033357,2,-2.035219051176682
2019_14_SF_NO,SF,00-0027685,1,3.320115084410645
2019_14_SF_NO,SF,00-0031345,39,16.799447951416944
2019_14_TEN_OAK,LV,00-0031280,38,7.241468272433849
2019_14_TEN_OAK,TEN,00-0029701,29,22.2856476826418
2019_14_WAS_GB,GB,00-0023459,34,-2.6566169365406407
2019_14_WAS_GB,WAS,00-0035232,30,-1.2482837844371746
2019_15_ATL_SF,ATL,00-0026143,45,6.495995870073785
2019_15_ATL_SF,SF,00-0031345,36,1.6966826341617098
2019_15_BUF_PIT,BUF,00-0034857,30,-2.9570896995719522
2019_15_BUF_PIT,PIT,00-0035577,42,-15.777383124010331
2019_15_CHI_GB,CHI,00-0033869,58,-1.8562327463682031
2019_15_CHI_GB,GB,00-0023459,36,-3.3479314916185103
2019_15_CLE_ARI,ARI,00-0035228,27,6.879743723012407
2019_15_CLE_ARI,CLE,00-0034855,45,7.967379219973859
2019_15_DEN_KC,DEN,00-0035704,42,-11.684357240162868
2019_15_DEN_KC,KC,00-0023534,1,-0.947
2019_15_DEN_KC,KC,00-0033873,40,11.377784683894852
2019_15_HOU_TEN,HOU,00-0033537,32,6.6671546313446015
2019_15_HOU_TEN,TEN,00-0025825,1,-2.171806056809146
2019_15_HOU_TEN,TEN,00-0029701,38,4.431170610695453
2019_15_IND_NO,IND,00-0033119,36,-7.547080845426535
2019_15_IND_NO,NO,00-0020531,30,21.45337705979734
2019_15_JAX_OAK,JAX,00-0035289,35,5.7632620558439545
2019_15_JAX_OAK,LV,00-0031280,40,4.54085112974043
2019_15_LA_DAL,DAL,00-0033077,25,6.719002969536569
2019_15_LA_DAL,LA,00-0028872,1,2.856620193691924
2019_15_LA_DAL,LA,00-0033106,54,-7.040711897789035
2019_15_MIA_NYG,MIA,00-0023682,48,0.3932787795921242
2019_15_MIA_NYG,NYG,00-0022803,29,1.8245274427172262
2019_15_MIA_NYG,NYG,00-0029623,1,-0.04524400760419667
2019_15_MIN_LAC,LAC,00-0022942,42,-5.544166259584406
2019_15_MIN_LAC,MIN,00-0029604,25,6.197829872212926
2019_15_NE_CIN,CIN,00-0027973,31,-12.47257234520264
2019_15_NE_CIN,NE,00-0019596,31,-2.432835970476878
2019_15_NYJ_BAL,BAL,00-0029665,1,-0.4054707589093596
2019_15_NYJ_BAL,BAL,00-0034796,26,18.66056214386481
2019_15_NYJ_BAL,NYJ,00-0034869,35,-6.098328423959541
2019_15_PHI_WAS,PHI,00-0032950,47,8.908586707563913
2019_15_PHI_WAS,WAS,00-0035232,31,-0.40909809415976106
2019_15_SEA_CAR,CAR,00-0033280,1,-0.5022525833919644
2019_15_SEA_CAR,CAR,00-0034577,45,-0.7436482448038237
2019_15_SEA_CAR,SEA,00-0029263,29,17.409667583034874
2019_15_SEA_CAR,SEA,00-0029664,1,-2.873463816009462
2019_15_TB_DET,DET,00-0035040,48,-17.00612678105124
